Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
SAO LUIS,GASOLINA,16/01/2019,"3,959",
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,16/01/2019,"4,099",
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,99",
SAO LUIS,ETANOL,15/01/2019,"3,49",
SAO LUIS,DIESEL,15/01/2019,"3,49",
SAO LUIS,GASOLINA,15/01/2019,"4,099",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,17/01/2019,"4,099",
SAO LUIS,DIESEL S10,17/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL,15/01/2019,"3,499",
SAO LUIS,DIESEL S10,15/01/2019,"3,599",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999","3,5569"
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,969",
SAO LUIS,DIESEL S10,15/01/2019,"3,399",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999","3,6986"
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,ETANOL,15/01/2019,"3,509",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999","3,6592"
SAO LUIS,ETANOL,15/01/2019,"3,569",
SAO LUIS,DIESEL S10,15/01/2019,"3,459",
SAO LUIS,GASOLINA,16/01/2019,"4,099","3,7855"
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999","3,602"
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,14/01/2019,"4,099",
SAO LUIS,DIESEL S10,14/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
