Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
FORTALEZA,GASOLINA,02/01/2019,"4,239",
FORTALEZA,DIESEL S10,02/01/2019,"3,79",
FORTALEZA,GASOLINA,02/01/2019,"4,3",
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,679",
FORTALEZA,GASOLINA,02/01/2019,"4,24","3,6689"
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,59","3,2167"
FORTALEZA,GASOLINA,02/01/2019,"4,2",
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
FORTALEZA,GASOLINA,02/01/2019,"4,35",
FORTALEZA,ETANOL,02/01/2019,"3,499",
FORTALEZA,DIESEL S10,02/01/2019,"3,799",
FORTALEZA,GASOLINA,02/01/2019,"4,35","3,8765"
FORTALEZA,ETANOL,02/01/2019,"3,459","3,1267"
FORTALEZA,DIESEL S10,02/01/2019,"3,699","3,3267"
FORTALEZA,GASOLINA,02/01/2019,"4,359",
FORTALEZA,ETANOL,02/01/2019,"3,599",
FORTALEZA,DIESEL S10,02/01/2019,"3,719",
FORTALEZA,GNV,02/01/2019,"3,379",
FORTALEZA,GASOLINA,02/01/2019,"4,369","3,9167"
FORTALEZA,ETANOL,02/01/2019,"3,59",
FORTALEZA,DIESEL S10,02/01/2019,"3,769","3,2569"
FORTALEZA,GASOLINA,02/01/2019,"4,27","3,7928"
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,79","3,3368"
FORTALEZA,GASOLINA,02/01/2019,"4,24","3,7269"
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,69","3,2569"
FORTALEZA,GASOLINA,02/01/2019,"4,34","3,8976"
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,77","3,2576"
FORTALEZA,GASOLINA,02/01/2019,"4,23",
FORTALEZA,ETANOL,02/01/2019,"3,299",
FORTALEZA,DIESEL S10,02/01/2019,"3,59",
FORTALEZA,GASOLINA,02/01/2019,"4,349","3,9268"
FORTALEZA,ETANOL,02/01/2019,"3,59",
FORTALEZA,DIESEL S10,02/01/2019,"3,799","3,3276"
FORTALEZA,GASOLINA,02/01/2019,"4,27",
FORTALEZA,ETANOL,02/01/2019,"3,499",
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
FORTALEZA,GNV,02/01/2019,"3,39",
FORTALEZA,GASOLINA,02/01/2019,"4,23","3,8549"
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,699","3,3469"
FORTALEZA,GASOLINA,02/01/2019,"4,47",
FORTALEZA,ETANOL,02/01/2019,"3,47",
FORTALEZA,DIESEL S10,02/01/2019,"3,87",
FORTALEZA,GASOLINA,02/01/2019,"4,32",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,59",
FORTALEZA,GASOLINA,02/01/2019,"4,33",
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
FORTALEZA,GNV,02/01/2019,"3,34",
FORTALEZA,GASOLINA,02/01/2019,"4,339","3,8689"
FORTALEZA,DIESEL S10,02/01/2019,"3,659","3,2368"
FORTALEZA,GASOLINA,02/01/2019,"4,37",
FORTALEZA,ETANOL,02/01/2019,"3,45",
FORTALEZA,DIESEL S10,02/01/2019,"3,699",
FORTALEZA,GASOLINA,02/01/2019,"4,35","3,8657"
FORTALEZA,ETANOL,02/01/2019,"3,45",
FORTALEZA,DIESEL S10,02/01/2019,"3,69","3,1896"
FORTALEZA,GASOLINA,02/01/2019,"4,34",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,679",
FORTALEZA,GASOLINA,02/01/2019,"4,23","3,7679"
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,69","3,2476"
FORTALEZA,GASOLINA,02/01/2019,"4,33","3,8679"
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,69","3,4359"
FORTALEZA,GASOLINA,02/01/2019,"4,269","3,7689"
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,799","3,2569"
FORTALEZA,GASOLINA,02/01/2019,"4,329",
FORTALEZA,ETANOL,02/01/2019,"3,57",
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
FORTALEZA,GASOLINA,02/01/2019,"4,35","3,8949"
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,77","3,3276"
FORTALEZA,GASOLINA,02/01/2019,"4,2",
FORTALEZA,ETANOL,02/01/2019,"3,29",
FORTALEZA,DIESEL S10,02/01/2019,"3,59",
FORTALEZA,GASOLINA,02/01/2019,"4,29","3,7859"
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,79","3,2769"
FORTALEZA,GASOLINA,02/01/2019,"4,33",
FORTALEZA,ETANOL,02/01/2019,"3,499",
FORTALEZA,DIESEL S10,02/01/2019,"3,699",
FORTALEZA,GASOLINA,02/01/2019,"4,34",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,87",
FORTALEZA,GASOLINA,02/01/2019,"4,23","3,9178"
FORTALEZA,ETANOL,02/01/2019,"3,49","3,1867"
FORTALEZA,DIESEL S10,02/01/2019,"3,79","3,3769"
FORTALEZA,GASOLINA,02/01/2019,"4,36",
FORTALEZA,ETANOL,02/01/2019,"3,46",
FORTALEZA,DIESEL S10,02/01/2019,"3,869",
FORTALEZA,GASOLINA,02/01/2019,"4,35","3,9162"
FORTALEZA,ETANOL,02/01/2019,"3,49","3,1368"
FORTALEZA,DIESEL S10,02/01/2019,"3,77","3,3129"
FORTALEZA,GASOLINA,02/01/2019,"4,23",
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,59",
FORTALEZA,GASOLINA,02/01/2019,"4,359",
FORTALEZA,ETANOL,02/01/2019,"3,599",
FORTALEZA,DIESEL S10,02/01/2019,"3,739",
FORTALEZA,GASOLINA,02/01/2019,"4,4",
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
FORTALEZA,GASOLINA,02/01/2019,"4,25","3,7278"
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,69","3,297"
FORTALEZA,GASOLINA,02/01/2019,"4,23","3,8469"
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,679","3,2479"
FORTALEZA,GASOLINA,02/01/2019,"4,23","3,9284"
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,69","3,2589"
FORTALEZA,GASOLINA,02/01/2019,"4,27","3,828"
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,49","3,2469"
FORTALEZA,GASOLINA,02/01/2019,"4,34",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,699",
FORTALEZA,GASOLINA,02/01/2019,"4,24",
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
FORTALEZA,GASOLINA,02/01/2019,"4,319",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,799",
FORTALEZA,GASOLINA,02/01/2019,"4,25",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,79",
FORTALEZA,GASOLINA,02/01/2019,"4,2","3,7753"
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,699","3,2869"
FORTALEZA,GASOLINA,02/01/2019,"4,32",
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
