Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
TERESINA,GASOLINA,14/01/2019,"4,29",
TERESINA,DIESEL S10,14/01/2019,"3,59",
TERESINA,GASOLINA,14/01/2019,"4,06",
TERESINA,ETANOL,14/01/2019,"3,299",
TERESINA,GASOLINA,14/01/2019,"4,359",
TERESINA,DIESEL S10,14/01/2019,"3,499",
TERESINA,GASOLINA,16/01/2019,"4,399",
TERESINA,ETANOL,16/01/2019,"3,299",
TERESINA,DIESEL,16/01/2019,"3,599",
TERESINA,DIESEL S10,16/01/2019,"3,699",
TERESINA,GASOLINA,14/01/2019,"4,299",
TERESINA,ETANOL,14/01/2019,"3,199",
TERESINA,DIESEL,14/01/2019,"3,449",
TERESINA,DIESEL S10,14/01/2019,"3,499",
TERESINA,GASOLINA,16/01/2019,"4,399",
TERESINA,ETANOL,16/01/2019,"3,299",
TERESINA,DIESEL,16/01/2019,"3,599",
TERESINA,DIESEL S10,16/01/2019,"3,699",
TERESINA,GASOLINA,15/01/2019,"4,399",
TERESINA,ETANOL,15/01/2019,"3,299",
TERESINA,DIESEL,15/01/2019,"3,459",
TERESINA,DIESEL S10,15/01/2019,"3,599",
TERESINA,GASOLINA,15/01/2019,"4,299",
TERESINA,ETANOL,15/01/2019,"3,199",
TERESINA,DIESEL,15/01/2019,"3,459",
TERESINA,DIESEL S10,15/01/2019,"3,499",
TERESINA,GASOLINA,14/01/2019,"4,389",
TERESINA,ETANOL,14/01/2019,"3,199",
TERESINA,DIESEL,14/01/2019,"3,459",
TERESINA,DIESEL S10,14/01/2019,"3,499",
TERESINA,GASOLINA,14/01/2019,"4,299",
TERESINA,ETANOL,14/01/2019,"3,199",
TERESINA,DIESEL,14/01/2019,"3,449",
TERESINA,DIESEL S10,14/01/2019,"3,499",
TERESINA,GASOLINA,14/01/2019,"4,357",
TERESINA,ETANOL,14/01/2019,"3,199",
TERESINA,DIESEL,14/01/2019,"3,599",
TERESINA,DIESEL S10,14/01/2019,"3,699",
TERESINA,GASOLINA,14/01/2019,"4,399",
TERESINA,ETANOL,14/01/2019,"3,299",
TERESINA,DIESEL S10,14/01/2019,"3,359",
TERESINA,GASOLINA,14/01/2019,"4,299",
TERESINA,ETANOL,14/01/2019,"3,199",
TERESINA,DIESEL S10,14/01/2019,"3,499",
TERESINA,GASOLINA,14/01/2019,"4,299",
TERESINA,ETANOL,14/01/2019,"3,199",
TERESINA,DIESEL,14/01/2019,"3,449",
TERESINA,DIESEL S10,14/01/2019,"3,499",
TERESINA,GASOLINA,14/01/2019,"4,299",
TERESINA,DIESEL S10,14/01/2019,"3,599",
TERESINA,GASOLINA,14/01/2019,"4,359",
TERESINA,DIESEL S10,14/01/2019,"3,599",
TERESINA,GASOLINA,14/01/2019,"4,29",
TERESINA,ETANOL,14/01/2019,"3,29",
TERESINA,DIESEL S10,14/01/2019,"3,59",
TERESINA,GASOLINA,15/01/2019,"4,39",
TERESINA,ETANOL,15/01/2019,"3,29",
TERESINA,DIESEL S10,15/01/2019,"3,59",
TERESINA,GASOLINA,14/01/2019,"4,269",
TERESINA,ETANOL,14/01/2019,"3,199",
TERESINA,DIESEL S10,14/01/2019,"3,599",
TERESINA,GASOLINA,16/01/2019,"4,359",
TERESINA,ETANOL,16/01/2019,"3,299",
TERESINA,DIESEL S10,16/01/2019,"3,599",
TERESINA,GASOLINA,15/01/2019,"4,299","3,8259"
TERESINA,ETANOL,15/01/2019,"3,199","3,0964"
TERESINA,DIESEL S10,15/01/2019,"3,699","3,2231"
TERESINA,GASOLINA,15/01/2019,"4,299","3,8259"
TERESINA,ETANOL,15/01/2019,"3,199","3,05"
TERESINA,DIESEL S10,15/01/2019,"3,599","3,2232"
TERESINA,GASOLINA,16/01/2019,"4,299","3,8127"
TERESINA,DIESEL,16/01/2019,"3,599","3,2229"
TERESINA,DIESEL S10,16/01/2019,"3,699","3,1904"
TERESINA,GASOLINA,14/01/2019,"4,499","3,8259"
TERESINA,ETANOL,14/01/2019,"3,199","3,05"
TERESINA,DIESEL,14/01/2019,"3,599",
TERESINA,DIESEL S10,14/01/2019,"3,699","3,2231"
TERESINA,GASOLINA,16/01/2019,"4,299","3,8259"
TERESINA,ETANOL,16/01/2019,"3,299","3,05"
TERESINA,DIESEL,16/01/2019,"3,699","3,1119"
TERESINA,DIESEL S10,16/01/2019,"3,799","3,1904"
TERESINA,GASOLINA,14/01/2019,"4,299","3,8259"
TERESINA,ETANOL,14/01/2019,"3,199","3,05"
TERESINA,DIESEL S10,14/01/2019,"3,699","3,1142"
TERESINA,GASOLINA,16/01/2019,"4,559","3,8259"
TERESINA,ETANOL,16/01/2019,"3,299","3,05"
TERESINA,DIESEL S10,16/01/2019,"3,599","3,2016"
TERESINA,GASOLINA,14/01/2019,"4,399",
TERESINA,ETANOL,14/01/2019,"3,299",
TERESINA,DIESEL,14/01/2019,"3,459",
TERESINA,DIESEL S10,14/01/2019,"3,599",
TERESINA,GASOLINA,16/01/2019,"4,399",
TERESINA,DIESEL S10,16/01/2019,"3,499",
TERESINA,GASOLINA,15/01/2019,"4,289",
TERESINA,ETANOL,15/01/2019,"3,199",
TERESINA,DIESEL,15/01/2019,"3,459",
TERESINA,DIESEL S10,15/01/2019,"3,499",
TERESINA,GASOLINA,14/01/2019,"4,399",
TERESINA,ETANOL,14/01/2019,"3,299",
TERESINA,DIESEL S10,14/01/2019,"3,599",
TERESINA,GASOLINA,14/01/2019,"4,189","3,8259"
TERESINA,ETANOL,14/01/2019,"3,299","3,05"
